state,pop_2020
AL,5024803
AK,732441
AZ,7177986
AR,3012232
CA,39499738
CO,5784308
CT,3600260
DE,991886
DC,690093
FL,21569932
GA,10725800
HI,1451911
ID,1847772
IL,12785245
IN,6785644
IA,3188669
KS,2935880
KY,4503958
LA,4651203
ME,1362280
MD,6172679
MA,7022220
MI,10067664
MN,5707165
MS,2956870
MO,6154481
MT,1086193
NE,1961455
NV,3114071
NH,1377848
NJ,9279743
NM,2117566
NY,20154933
NC,10457177
ND,778962
OH,11790587
OK,3962031
OR,4241544
PA,12989625
RI,1096229
SC,5130729
SD,887099
TN,6920119
TX,29217653
UT,3281684
VT,642495
VA,8632044
WA,7718785
WV,1789798
WI,5892323
WY,577267
PR,3281538